název,zeměpisná šířka,zeměpisná délka,druh,délka trvání [min],popis
S1,49.4057714N,12.8052606E,start,0.0,
S2,49.4032533N,12.7982581E,start,0.0,
S3,49.3862853N,12.8106319E,start,0.0,
S4,49.3937575N,12.8005256E,start,0.0,
S5,49.3950283N,12.7915561E,start,0.0,
S6,49.3980867N,12.7943456E,start,0.0,
S7,49.3919653N,12.8060614E,start,0.0,
S8,49.3815989N,12.8217900E,start,0.0,
S9,49.3881394N,12.7930261E,start,0.0,
S10,49.4016722N,12.7916742E,start,0.0,
1,49.3926261N,12.8029267E,stanoviště,20.0,
2,49.3856700N,12.8102089E,stanoviště,20.0,
3,49.3801017N,12.8202792E,stanoviště,20.0,
4,49.3882967N,12.7963411E,stanoviště,20.0,
5,49.370111034160594N,12.810430527606515E,stanoviště,20.0,
6,49.3840933N,12.7845400E,stanoviště,20.0,
7,49.4017264N,12.8011631E,stanoviště,20.0,
8,49.3987294N,12.7941933E,stanoviště,20.0,
C,49.4056639N,12.8054519E,cíl,0.0,Rudolfova Pila
S11,49.3995704080839N,12.78699874637823E,start,0.0,
