název,zeměpisná šířka,zeměpisná délka,druh,délka trvání [min],popis
S0,49.4056639N,12.8054519E,start,0,Rudolfova Pila
S1,49.39620868N,12.79788751E,start,0,
S2,49.39383811N,12.79842513E,start,0,
S3,49.39292441N,12.80176725E,start,0,
S4,49.39144867N,12.80541602E,start,0,
S5,49.38796931N,12.80655911E,start,0,
S6,49.38606145N,12.81002891E,start,0,
S7,49.38202757N,12.82095548E,start,0,
S8,49.38012963N,12.82030721E,start,0,
S9,49.37854218N,12.81227910E,start,0,
S10,49.36938306N,12.81499095E,start,0,
S11,49.38784678N,12.79125162E,start,0,
S12,49.38826637N,12.79679740E,start,0,
S13,49.39354345N,12.80469051E,start,0,
S14,49.39922154N,12.80178633E,start,0,
1,49.3926261N,12.8029267E,stanoviště,20,Altán
2,49.3856700N,12.8102089E,stanoviště,20,U přírodní rezervace
3,49.3801017N,12.8202792E,stanoviště,20,Teplá Bystřice
4,49.3882967N,12.7963411E,stanoviště,20,Pecácká cesta
5,49.3784206N,12.8116619E,stanoviště,20,Křižovatka Horizontály a Vrbatovy stezky
6,49.3840933N,12.7845400E,stanoviště,20,Čerchov
7,49.4017264N,12.8011631E,stanoviště,20,Pod kopcem
8,49.3987294N,12.7941933E,stanoviště,20,U posedu
C,49.4056639N,12.8054519E,cíl,0,Rudolfova Pila
