název,zeměpisná šířka,zeměpisná délka,druh,délka trvání [min],popis
S0,49.4056639N,12.8054519E,start,0,Rudolfova Pila
S1,49.39620868N,12.79788751E,start,0,
S2,49.39144867N,12.80541602E,start,0,
S3,49.38800783N,12.80603885E,start,0,
S4,49.38202757N,12.82095548E,start,0,
S5,49.38114348N,12.80392169E,start,0,
S6,49.39939352N,12.78690576E,start,0,
S7,49.3888181N,12.7962667E,start,0,
S8,49.38544589N,12.79799938E,start,0,
S9,49.3942506N,12.8054094E,start,0,
S10,49.3904856N,12.7860358E,start,0,
S11,49.37672894N,12.81559467E,start,0,
1,49.3926261N,12.8029267E,stanoviště,20,Altán
2,49.3856700N,12.8102089E,stanoviště,20,U přírodní rezervace
3,49.3801017N,12.8202792E,stanoviště,20,Teplá Bystřice
4,49.3878467N,12.7912516E,stanoviště,20,Pecácká cesta
5,49.3784206N,12.8116619E,stanoviště,20,Křižovatka Horizontály a Vrbatovy stezky
6,49.3840933N,12.7845400E,stanoviště,20,Čerchov
7,49.3987294N,12.7941933E,stanoviště,20,U posedu
C,49.4056639N,12.8054519E,cíl,0,Rudolfova Pila
